login,totalCommitContributions,totalIssueContributions,totalPullRequestContributions,totalPullRequestReviewContributions,total,totalPullRequestReviewContributions_Approved,totalPullRequestReviewContributions_Dismissed,totalPullRequestReviewContributions_Changes_Requested,totalPullRequestReviewContributions_Commented
lenny-intel,717,497,367,723,2304,609,80,12,22
cloudxxx8,526,121,33,534,1214,497,23,3,11
jpwhitemn,306,88,109,291,794,261,23,0,7
ernestojeda,235,41,168,174,618,154,8,4,8
weichou1229,212,135,189,8,544,4,1,1,2
cherrycl,139,122,131,53,445,50,1,0,2
soda480,157,14,140,125,436,113,7,1,4
jinlinGuan,144,96,92,101,433,100,0,0,1
jim-wang-intel,63,52,63,198,376,167,15,2,14
hahattan,182,35,136,13,366,9,3,0,1
iain-anderson,103,39,74,51,267,45,3,1,2
difince,93,58,67,37,255,34,2,0,1
tonyespy,84,38,39,82,243,50,18,3,11
bill-mahoney,46,4,54,137,241,119,17,0,1
rsdmike,94,21,29,87,231,77,7,0,3
badboy-huaqiao,161,1,16,45,223,44,1,0,0
mkbhanda,111,15,11,81,218,71,0,4,6
bnevis-i,32,50,25,106,213,59,28,3,16
judehung,75,59,63,13,210,10,0,0,3
edgex-jenkins,182,0,0,0,182,0,0,0,0
FelixTing,62,50,55,5,172,4,0,0,1
jamesrgregg,39,53,31,37,160,31,6,0,0
cjoyv,22,0,20,62,104,57,5,0,0
AlexCuse,22,24,24,16,86,8,7,0,1
MightyNerdEric,38,0,14,14,66,11,0,1,2
SteveOss,24,0,0,37,61,37,0,0,0
lranjbar,1,1,43,5,50,4,1,0,0
hutchic,9,6,12,15,42,5,9,0,1
siggiskulason,15,6,13,7,41,2,4,0,1
andresrinivasan,9,7,9,11,36,1,1,0,9
brian-intel,10,2,10,14,36,12,2,0,0
beaufrusetta,12,1,15,1,29,0,0,0,1
BinduRao2018,16,1,8,4,29,4,0,0,0
anonymouse64,2,1,3,22,28,12,4,0,6
charles-knox-intel,9,3,11,3,26,2,1,0,0
AnthonyMBonafide,8,2,6,8,24,8,0,0,0
adam-intel,5,1,4,12,22,9,3,0,0
lindseysimple,8,5,6,3,22,3,0,0,0
eno-intel,5,1,5,7,18,5,0,1,1
thank037,0,0,0,16,16,16,0,0,0
wendy0211,0,16,0,0,16,0,0,0,0
kb2ma,3,2,2,3,10,0,0,1,2
tobiasmo1,5,0,0,5,10,5,0,0,0
brandonforster,0,0,0,7,7,6,1,0,0
gofling,2,0,1,4,7,4,0,0,0
vijay-hcl-epl,2,0,3,1,6,0,0,1,0
tingyuz,3,0,0,2,5,2,0,0,0
tsconn23,0,0,1,3,4,2,1,0,0
JamesKButcher,1,0,0,2,3,2,0,0,0
michaelestrin,0,1,0,2,3,1,0,0,1
akramtexas,1,0,1,0,2,0,0,0,0
Aricg,2,0,0,0,2,0,0,0,0
Walt-Intel,0,0,0,2,2,0,0,0,2
jduranf,0,1,0,0,1,0,0,0,0
sathya-hcl,0,0,0,1,1,0,0,0,1
tykeal,0,0,0,1,1,1,0,0,0
zhanglu0704,0,1,0,0,1,0,0,0,0
alexcourouble,0,0,0,0,0,0,0,0,0
andyf1967,0,0,0,0,0,0,0,0,0
askb,0,0,0,0,0,0,0,0,0
bramwelt,0,0,0,0,0,0,0,0,0
bthuree,0,0,0,0,0,0,0,0,0
couralex6,0,0,0,0,0,0,0,0,0
drasko,0,0,0,0,0,0,0,0,0
edward-scott,0,0,0,0,0,0,0,0,0
frq92290,0,0,0,0,0,0,0,0,0
gaofeng3695,0,0,0,0,0,0,0,0,0
janko-isidorovic,0,0,0,0,0,0,0,0,0
jbonafide623,0,0,0,0,0,0,0,0,0
jdharms,0,0,0,0,0,0,0,0,0
JPWKU,0,0,0,0,0,0,0,0,0
jwagantall,0,0,0,0,0,0,0,0,0
mhall119,0,0,0,0,0,0,0,0,0
sudhamani-hcl,0,0,0,0,0,0,0,0,0
thelinuxfoundation,0,0,0,0,0,0,0,0,0
TiejunChina,0,0,0,0,0,0,0,0,0
TomFlem,0,0,0,0,0,0,0,0,0
vediyappan-hcl,0,0,0,0,0,0,0,0,0
vishwassp-hcl-intel,0,0,0,0,0,0,0,0,0
vvalderrv,0,0,0,0,0,0,0,0,0
wfchair,0,0,0,0,0,0,0,0,0
xmlviking,0,0,0,0,0,0,0,0,0
yanghua,0,0,0,0,0,0,0,0,0
zxiiro,0,0,0,0,0,0,0,0,0
